"","序號","抽籤日期","證券名稱","證券代號","發行市場","申購開始日","申購結束日","承銷股數","實際承銷股數","承銷價(元)","實際承銷價(元)","撥券日期(上市、上櫃日期)","主辦券商","申購股數","總承銷金額(元)","總合格件","中籤率(%)","取消公開抽籤","Open","High","Low","ClosePrice","Volume","Adjusted","day"
"30",126,2016-05-03,"展宇","1776","初上市",2016-04-26,2016-04-28,696000,4176000,27,23,2016-05-09,"兆豐",1000,96048000,132588,3.14,NA,32,32.630001,31.5,32,28100,22.273247,"2016-04-26"
"31",134,2016-04-22,"得力實業","1464","上市增資",2016-04-18,2016-04-20,2550000,2550000,28,28,2016-05-03,"元富",1000,71400000,131326,1.94,NA,31.935598,31.982632,31.230099,31.277132,2992561,24.1255,"2016-04-18"
"32",135,2016-04-20,"新日光","3576","上市增資",2016-04-14,2016-04-18,13600000,13600000,18,18,2016-04-28,"凱基",2000,244800000,27791,24.46,NA,35.109459,35.37344,34.669491,34.757484,6705030,34.757484,"2016-04-14"
"33",150,2016-03-21,"國精化","4722","上市增資",2016-03-15,2016-03-17,595000,595000,30,30,2016-03-29,"華南永昌",1000,17850000,54939,1.08,NA,33.285713,33.523808,32.571426,32.619045,731850,22.156441,"2016-03-15"
"34",152,2016-03-16,"運錩","2069","初上市",2016-03-10,2016-03-14,1094000,4376000,20,17.5,2016-03-22,"台新",1000,76580000,66051,6.62,NA,22.305363,23.296713,22.305363,22.305363,48418,16.348106,"2016-03-10"
"35",161,2016-02-25,"花仙子","1730","上市增資",2016-02-19,2016-02-23,298000,298000,30,30,2016-03-07,"元大",1000,8940000,103080,0.28,NA,36.599998,36.599998,36.099998,36.400002,269000,27.030176,"2016-02-19"
"36",163,2016-02-22,"儒鴻","1476","上市增資",2016-02-16,2016-02-18,680000,680000,320,320,2016-03-02,"凱基",1000,217600000,184256,0.36,NA,450.980377,454.411774,446.568634,450.980377,1469820,380.132751,"2016-02-16"
"37",170,2016-01-22,"奇美材","4960","上市增資",2016-01-18,2016-01-20,4845000,4845000,20,20,2016-01-30,"兆豐",1000,96900000,497,100,NA,18.5,19.5,18.5,19.299999,1270000,18.652348,"2016-01-18"
"38",171,2016-01-21,"F-英利","2239","第一上市公司初上市",2016-01-15,2016-01-19,9e+05,5400000,155,147,2016-01-27,"永豐金",1000,793800000,100357,5.38,NA,185.715775,187.702042,176.777588,185.715775,28748,160.07309,"2016-01-15"
"39",184,2016-01-11,"凌華","6166","上市增資",2016-01-05,2016-01-07,1275000,1275000,64,64,2016-01-19,"台新",1000,81600000,101201,1.25,NA,73.5,75.5,73.5,74,314000,63.866268,"2016-01-05"
"40",185,2016-01-11,"南亞科","2408","上市增資",2016-01-05,2016-01-07,27200000,27200000,36.5,36.5,2016-01-19,"元大",1000,992800000,171930,15.82,NA,44.849998,45.799999,44.700001,44.700001,7169000,33.120914,"2016-01-05"
"41",2,2017-12-28,"雙鍵","4764","初上市",2017-12-22,2017-12-26,1644000,1644000,48,48,2018-01-04,"永豐金",1000,78912000,178780,0.91,NA,60.220901,61.070518,56.338146,60.220901,407333,52.997036,"2017-12-22"
"42",3,2017-12-28,"嘉晶","3016","上市增資",2017-12-22,2017-12-26,2550000,2550000,29.8,29.8,2018-01-08,"凱基",1000,75990000,43354,5.88,NA,31.85,31.950001,31.5,31.75,1386031,30.652685,"2017-12-22"
"43",5,2017-12-22,"動力-KY","6591","第一上市公司初上市",2017-12-18,2017-12-20,238000,1428000,62,60,2017-12-28,"康和",1000,85680000,115149,1.24,NA,77.58374,78.164825,76.218208,77.58374,292228,68.173286,"2017-12-18"
"44",9,2017-12-18,"全科","3209","上市增資",2017-12-12,2017-12-14,1360000,1360000,18,18,2017-12-26,"富邦",1000,24480000,64050,2.12,NA,19.047619,19.32773,19.047619,19.140989,306219,16.346767,"2017-12-12"
"45",10,2017-12-12,"華邦電","2344","上市增資",2017-12-06,2017-12-08,3.4e+07,3.4e+07,22,22,2017-12-20,"中國信託",1000,7.48e+08,132516,25.65,NA,25.85,26.1,24.5,24.5,65728105,21.515724,"2017-12-06"
"46",11,2017-12-12,"大成鋼","2027","上市增資",2017-12-06,2017-12-08,7650000,7650000,18,18,2017-12-20,"統一",1000,137700000,50043,15.28,NA,16.806578,16.8948,16.718353,16.762466,2601655,14.553092,"2017-12-06"
"47",12,2017-12-11,"文曄","3036","上市增資",2017-12-05,2017-12-07,6375000,6375000,38,38,2017-12-19,"福邦",1000,242250000,162134,3.93,NA,46.150002,46.150002,45.049999,45.150002,3351415,36.16642,"2017-12-05"
"48",15,2017-12-05,"東哥遊艇","8478","初上市",2017-11-29,2017-12-01,3299000,3299000,72.8,72.8,2017-12-11,"凱基",1000,240167200,146821,2.24,NA,93,96,93,93,40268,84.125114,"2017-11-29"
"49",22,2017-12-04,"崇越","5434","上市增資",2017-11-28,2017-11-30,1343000,1343000,65,65,2017-12-12,"福邦",1000,87295000,157084,0.85,NA,81.599998,82,80.099998,80.099998,1038144,63.551254,"2017-11-28"
"50",23,2017-11-29,"訊映","4155","初上市",2017-11-23,2017-11-27,1581000,1581000,22,22,2017-12-05,"富邦",1000,34782000,182994,0.86,NA,33.278488,33.942162,33.079384,33.278488,254219,26.268766,"2017-11-23"
"51",24,2017-11-29,"長榮","2603","上市增資",2017-11-23,2017-11-27,42537000,42537000,15.3,15.3,2017-12-07,"永豐金",3000,650816100,145356,9.75,NA,15.884483,15.931618,15.743078,15.790213,15344151,15.249283,"2017-11-23"
"52",25,2017-11-22,"陽明","2609","上市增資",2017-11-16,2017-11-20,42501000,42501000,12,12,2017-11-30,"凱基",3000,510012000,2093,100,NA,12.1,12.1,12,12.05,4404661,12.05,"2017-11-16"
"53",35,2017-11-17,"元晶","6443","上市增資",2017-11-13,2017-11-15,4500000,4500000,10.5,10.5,2017-11-27,"元大",1000,47250000,82124,5.47,NA,18.364199,19.650406,18.006918,18.721478,21988832,18.721478,"2017-11-13"
"54",40,2017-10-31,"慧洋-KY","2637","第一上市公司現金增資",2017-10-25,2017-10-27,2720000,2720000,23.5,23.5,2017-11-08,"永豐金",1000,63920000,108274,2.51,NA,26.865202,27.402506,26.816357,27.353661,2340493,23.462961,"2017-10-25"
"55",43,2017-10-20,"泰福-KY","6541","第一上市公司初上市",2017-10-16,2017-10-18,2070000,4140000,80,72,2017-10-26,"元富",1000,298080000,53170,7.78,NA,87.717743,91.360344,86.841553,87.717743,274132,87.717743,"2017-10-16"
"56",46,2017-10-18,"廷鑫","2358","上市增資",2017-10-12,2017-10-16,2550000,2550000,17,17,2017-10-26,"富邦",1000,43350000,37937,6.72,NA,19.1,19.1,18.4,18.450001,519244,18.203905,"2017-10-12"
"57",51,2017-10-12,"奇力新","2456","上市增資",2017-10-03,2017-10-06,2125000,2125000,69.4,69.4,2017-10-20,"凱基",1000,147475000,181703,1.16,NA,123.859116,124.140297,121.890869,123.296761,1886123,105.5802,"2017-10-03"
"58",63,2017-09-15,"泰鼎-KY","4927","第一上市公司現金增資",2017-09-11,2017-09-13,1613000,1613000,19.5,19.5,2017-09-25,"凱基",1000,31453500,107281,1.5,NA,23.5,23.6,23.1,23.1,791423,20.266161,"2017-09-11"
"59",66,2017-09-12,"誠創","3536","上市增資",2017-09-06,2017-09-08,850000,850000,16.8,16.8,2017-09-20,"元大",1000,14280000,74389,1.14,NA,20.450001,20.450001,20,20.200001,3617817,20.200001,"2017-09-06"
"60",68,2017-08-29,"佳凌","4976","上市增資",2017-08-23,2017-08-25,850000,850000,30,30,2017-09-06,"福邦",1000,25500000,177786,0.47,NA,44.799999,47.599998,44.75,47.599998,16621131,47.599998,"2017-08-23"
"61",73,2017-08-15,"研揚","6579","初上市",2017-08-09,2017-08-11,1836000,1836000,88,88,2017-08-21,"元大",1000,161568000,183450,1,NA,130.990005,135.5,129.009995,130.990005,161272,103.861923,"2017-08-09"
"62",78,2017-08-15,"穎漢","4562","初上市",2017-08-09,2017-08-11,1351000,1351000,40,40,2017-08-21,"台新",1000,54040000,143482,0.94,NA,52.990002,54.200001,51.5,52.990002,137012,48.034798,"2017-08-09"
"63",79,2017-08-14,"榮成","1909","上市增資",2017-08-08,2017-08-10,2040000,2040000,33.5,33.5,2017-08-22,"第一金",1000,68340000,156457,1.3,NA,39.84211,41.639496,39.84211,40.191601,14053389,34.690815,"2017-08-08"
"64",82,2017-08-09,"亞德客-KY","1590","上市增資",2017-08-03,2017-08-07,850000,850000,300,300,2017-08-17,"富邦",1000,2.55e+08,135182,0.62,NA,408,408,393,395,801000,373.670929,"2017-08-03"
"65",84,2017-08-01,"鮮活-KY","1256","上市增資",2017-07-26,2017-07-28,306000,306000,112,112,2017-08-09,"富蘭德林證券股份有限公司",1000,34272000,90137,0.33,NA,124.090912,124.090912,123.181816,123.181816,56602,109.881088,"2017-07-26"
"66",85,2017-07-31,"得力","1464","上市增資",2017-07-25,2017-07-27,3655000,3655000,25.5,25.5,2017-08-08,"元富",1000,93202500,136917,2.66,NA,28.323423,28.513514,28.180855,28.2759,671260,21.938995,"2017-07-25"
"67",93,2017-07-14,"三商壽","2867","上市增資",2017-07-10,2017-07-12,9e+06,9e+06,13.3,13.3,2017-07-24,"國泰",1000,119700000,131041,6.86,NA,12.440756,12.480001,12.32302,12.362266,3425888,12.362266,"2017-07-10"
"68",96,2017-06-20,"日成-KY","4807","第一上市公司初上市",2017-06-14,2017-06-16,763000,763000,66,66,2017-06-26,"永豐金",1000,50358000,65946,1.15,NA,74.5,76,74,74.5,57150,58.897587,"2017-06-14"
"69",97,2017-06-14,"如興","4414","上市增資",2017-06-08,2017-06-12,62700000,62700000,18.6,18.6,2017-06-22,"富邦",5000,1166220000,57195,21.92,NA,19.75,20.4,19.75,20.4,4090000,20.4,"2017-06-08"
"70",111,2017-05-22,"強信-KY","4560","第一上市公司初上市",2017-05-16,2017-05-18,653000,3918000,38,34.5,2017-05-26,"富邦",1000,135171000,152058,2.57,NA,47.5,49.299999,46.860001,47.5,114600,38.173203,"2017-05-16"
"71",112,2017-05-16,"益航","2601","上市增資",2017-05-10,2017-05-12,22100000,22100000,7.6,7.6,2017-05-24,"台新",2000,167960000,32189,34.32,NA,7.146788,7.770642,7.146788,7.53211,8970700,7.141425,"2017-05-10"
"72",118,2017-05-02,"玉山金","2884","上市增資",2017-04-25,2017-04-27,59750000,59750000,15,15,2017-05-10,"福邦",2000,896250000,295945,10.09,NA,13.04697,13.18995,13.011225,13.18995,43073008,11.51616,"2017-04-25"
"73",119,2017-04-28,"王道","2897","初上市",2017-04-24,2017-04-26,4e+06,4e+06,7,7,2017-05-05,"元富",5000,2.8e+07,173166,0.46,NA,9.53,10.29,9.31,9.53,5333571,8.047186,"2017-04-24"
"74",123,2017-04-20,"中視","9928","上市增資",2017-04-14,2017-04-18,7600000,7600000,6.2,6.2,2017-04-28,"福邦",2000,47120000,21838,17.4,NA,7.42,7.69,7.05,7.15,24000,7.15,"2017-04-14"
"75",140,2017-03-17,"和大","1536","上市增資",2017-03-13,2017-03-15,1700000,1700000,105,105,2017-03-27,"玉山",1000,178500000,188488,0.9,NA,134.5,136,134,134.5,1138000,120.193588,"2017-03-13"
"76",141,2017-03-16,"高雄銀","2836","上市增資",2017-03-10,2017-03-14,16200000,16200000,10,10,2017-03-24,"統一",3000,1.62e+08,884,100,NA,8.816658,8.816658,8.647961,8.692355,2373065,8.034837,"2017-03-10"
"77",144,2017-03-08,"晶心科","6533","初上市",2017-03-02,2017-03-06,624000,624000,65.1,65.1,2017-03-14,"宏遠",1000,40622400,272099,0.22,NA,117.800003,122.371429,116.209526,117.800003,541923,116.711952,"2017-03-02"
"78",147,2017-03-01,"飛宏","2457","上市增資",2017-02-21,2017-02-23,5100000,5100000,10.2,10.2,2017-03-09,"凱基",1000,52020000,50916,10.01,NA,11.5,11.55,11.2,11.3,2250000,11.3,"2017-02-21"
"79",153,2017-02-20,"政伸","8481","初上市",2017-02-15,2017-02-17,517000,3102000,40,38,2017-02-24,"第一金",1000,117876000,167252,1.85,NA,53.439999,53.470001,52.990002,53.439999,117703,39.412601,"2017-02-15"
"80",166,2017-01-11,"泰昇-KY","8480","第一上市公司初上市",2017-01-05,2017-01-09,850000,850000,107,107,2017-01-17,"兆豐",1000,90950000,92128,0.92,NA,113.181816,113.181816,110,113.181816,1320,95.659645,"2017-01-05"
"81",172,2017-01-04,"易華","6552","初上市",2016-12-28,2016-12-30,850000,5100000,28,26,2017-01-10,"台新",1000,132600000,134596,3.78,NA,43.843372,45.313251,43.144577,43.843372,147774,39.141079,"2016-12-28"
"82",1,2018-12-21,"同泰","3321","上市增資",2018-12-17,2018-12-19,2550000,2550000,9,9,2018-12-28,"臺銀證券",1000,22950000,61553,4.14,NA,12.534093,12.817669,12.534093,12.534093,221772,12.534093,"2018-12-17"
"83",2,2018-12-21,"三商壽","2867","上市增資",2018-12-17,2018-12-19,13500000,13500000,11.3,11.3,2018-12-28,"國泰",1000,152550000,49866,27.07,NA,12.230068,12.279784,12.130637,12.230068,2310979,12.230068,"2018-12-17"
"84",5,2018-12-19,"虹堡","5258","上市增資",2018-12-13,2018-12-17,1350000,1350000,13,13,2018-12-26,"台新",1000,17550000,10097,13.37,NA,13.9,14.1,13.9,14,172282,14,"2018-12-13"
"85",12,2018-12-12,"復盛應用","6670","初上市",2018-12-06,2018-12-10,3748000,3748000,120,120,2018-12-18,"富邦",1000,449760000,137033,2.73,NA,159,163.190002,157.009995,159,242970,138.825684,"2018-12-06"
"86",16,2018-12-10,"茂矽","2342","上市增資",2018-12-04,2018-12-06,3570000,3570000,20.5,20.5,2018-12-18,"元大",2000,73185000,124257,1.43,NA,28.35,29.35,27.700001,27.85,2390696,27.496973,"2018-12-04"
"87",17,2018-12-07,"上曜","1316","上市增資",2018-12-03,2018-12-05,4450000,4450000,12,12,2018-12-17,"元富",1000,53400000,15465,28.77,NA,12.95,13,12.8,12.8,2391723,11.238288,"2018-12-03"
"88",18,2018-12-06,"榮成","1909","上市增資",2018-11-30,2018-12-04,3060000,3060000,16.2,16.2,2018-12-14,"第一金",1000,49572000,34060,8.98,NA,16.625841,17.125116,16.476061,17.07519,8296737,15.831497,"2018-11-30"
"89",20,2018-12-06,"日馳","1526","上市增資",2018-11-30,2018-12-04,850000,850000,13.85,13.85,2018-12-14,"日盛",1000,11772500,186871,0.45,NA,41.450001,43.25,40,40.900002,3271156,38.79887,"2018-11-30"
"90",21,2018-12-06,"中揚光","6668","初上市",2018-11-30,2018-12-04,2080000,2080000,58,58,2018-12-12,"元大",1000,120640000,137036,1.51,NA,74.489998,74.489998,71.010002,74.489998,153056,72.414566,"2018-11-30"
"91",23,2018-12-05,"聚亨","2022","上市增資",2018-11-29,2018-12-03,9500000,9500000,6.05,6.05,2018-12-13,"台新",5000,57475000,39070,4.86,NA,6.73,6.93,6.73,6.75,2301929,6.75,"2018-11-29"
"92",26,2018-12-04,"康普","4739","上市增資",2018-11-28,2018-11-30,510000,510000,75,75,2018-12-12,"福邦",1000,38250000,102305,0.49,NA,92.199997,92.300003,90.599998,91.099998,1138019,85.052216,"2018-11-28"
"93",30,2018-11-29,"興能高","6558","初上市",2018-11-23,2018-11-27,2333000,2333000,18,18,2018-12-05,"富邦",1000,41994000,128330,1.81,NA,27.030001,27.309999,27,27.030001,119983,25.663132,"2018-11-23"
"94",32,2018-11-27,"台中銀","2812","上市增資",2018-11-21,2018-11-23,14250000,14250000,10.2,10.2,2018-12-05,"凱基",2000,145350000,1878,100,NA,8.836809,8.836809,8.750597,8.793703,3967029,8.214559,"2018-11-21"
"95",34,2018-11-22,"科定","6655","初上市",2018-11-16,2018-11-20,1132000,1132000,60.32,60.32,2018-11-28,"中國信託",1000,68282240,75168,1.5,NA,73.307678,73.803001,68.849785,73.307678,52945,60.157578,"2018-11-16"
"96",35,2018-11-22,"鋐寶科技","6674","初上市",2018-11-16,2018-11-20,1539000,1539000,30.84,30.84,2018-11-28,"凱基",1000,47462760,72422,2.12,NA,37,37.5,37,37,11000,33.405247,"2018-11-16"
"97",36,2018-11-22,"長榮","2603","上市增資",2018-11-16,2018-11-20,2.7e+07,2.7e+07,10.7,10.7,2018-11-30,"永豐金",5000,288900000,83071,6.5,NA,11.66656,11.66656,11.46798,11.616915,8803584,11.395561,"2018-11-16"
"98",37,2018-11-22,"南寶","4766","初上市",2018-11-16,2018-11-20,3554000,3554000,76.8,76.8,2018-11-28,"富邦",1000,272947200,114413,3.1,NA,93.370003,93.389999,87.459999,93.370003,287463,82.797035,"2018-11-16"
"99",55,2018-10-15,"上海商銀","5876","初上市",2018-10-08,2018-10-11,4e+06,4e+06,32.28,32.28,2018-10-19,"華南永昌",1000,129120000,109187,3.66,NA,35.37962,35.477516,35.232777,35.37962,1125068,31.440769,"2018-10-08"
"100",63,2018-10-11,"天鈺","4961","初上市",2018-10-04,2018-10-08,3213000,3213000,33,33,2018-10-17,"福邦",1000,106029000,117589,2.73,NA,42.630001,43.330002,42.360001,42.630001,379655,39.701397,"2018-10-04"
"101",64,2018-10-09,"中橡","2104","上市增資",2018-10-03,2018-10-05,15734000,15734000,38,38,2018-10-18,"元大",2000,597892000,10723,73.36,NA,34.601768,34.601768,34.247787,34.247787,3665200,32.220982,"2018-10-03"
"102",65,2018-10-09,"大成鋼","2027","上市增資",2018-10-03,2018-10-05,21250000,21250000,42,42,2018-10-18,"統一",2000,892500000,173366,6.12,NA,50.384548,51.230556,46.060501,46.060501,50417725,40.695999,"2018-10-03"
"103",74,2018-09-19,"運錩","2069","上市增資",2018-09-13,2018-09-17,9e+05,9e+05,20,20,2018-09-28,"台新",1000,1.8e+07,33605,2.67,NA,22.950001,23.200001,22.85,22.85,126963,19.612183,"2018-09-13"
"104",82,2018-09-13,"虹揚-KY","6573","第一上市公司現金增資",2018-09-07,2018-09-11,225000,225000,40,40,2018-09-21,"康和",1000,9e+06,39321,0.57,NA,45.074829,45.601181,42.873722,43.878574,402297,43.450233,"2018-09-07"
"105",84,2018-09-12,"慶豐富","9935","上市增資",2018-09-06,2018-09-10,1360000,1360000,17,17,2018-09-20,"群益金鼎",1000,23120000,1878,72.41,NA,17.15,17.450001,17.1,17.4,257893,16.986452,"2018-09-06"
"106",86,2018-09-06,"建新國際","8367","初上市",2018-08-31,2018-09-04,2418000,2418000,20.08,20.08,2018-09-12,"凱基",1000,48553440,91592,2.63,NA,24.540001,25,24.51,24.540001,149108,21.935471,"2018-08-31"
"107",87,2018-09-05,"國揚實業","2505","上市增資",2018-08-30,2018-09-03,10200000,10200000,11,11,2018-09-13,"宏遠",3000,112200000,39490,8.6,NA,21.99736,22.180672,21.905704,21.905704,375586,17.960995,"2018-08-30"
"108",90,2018-08-31,"上銀科技","2049","上市增資",2018-08-27,2018-08-29,1080000,1080000,250,250,2018-09-10,"凱基",1000,2.7e+08,60219,1.79,NA,247.859573,254.874466,246.456589,252.536163,5204359,242.353958,"2018-08-27"
"109",92,2018-08-28,"泰福-KY","6541","上市增資",2018-08-22,2018-08-24,2250000,2250000,85,85,2018-09-05,"凱基",1000,191250000,1980,100,NA,84.444862,84.941589,84.345512,84.444862,162159,84.444862,"2018-08-22"
"110",93,2018-08-24,"世紀鋼","9958","上市增資",2018-08-20,2018-08-22,1700000,1700000,60,60,2018-09-03,"群益金鼎",1000,1.02e+08,3800,44.73,NA,60,62.5,58.599998,61.5,6858140,59.068535,"2018-08-20"
"111",94,2018-08-20,"恩德","1528","上市增資",2018-08-14,2018-08-16,1700000,1700000,13,13,2018-08-28,"元大",1000,22100000,2040,83.33,NA,13,13.15,13,13.15,651108,12.587564,"2018-08-14"
"112",99,2018-08-14,"泰碩","3338","上市增資",2018-08-08,2018-08-10,1417000,1417000,18,18,2018-08-22,"群益金鼎",1000,25506000,12252,11.56,NA,19.1,19.25,19,19,190124,17.558222,"2018-08-08"
"113",103,2018-08-09,"全球","4540","初上市",2018-08-03,2018-08-07,2938000,2938000,94.8,94.8,2018-08-15,"第一金",1000,278522400,168393,1.74,NA,129.899994,130.300003,128.610001,129.899994,130000,121.611122,"2018-08-03"
"114",109,2018-08-02,"英利-KY","2239","第一上市公司現金增資",2018-07-27,2018-07-31,765000,765000,147,147,2018-08-10,"富邦",1000,112455000,56977,1.34,NA,158,164,157,163,338745,151.081436,"2018-07-27"
"115",110,2018-07-31,"台耀","4746","上市增資",2018-07-25,2018-07-27,510000,510000,50,50,2018-08-08,"凱基",1000,25500000,19965,2.55,NA,53.599998,53.700001,52.599998,53,380858,52.283485,"2018-07-25"
