出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","105","4","8093","保銳","393525.00","335923.00","729448.00","199150.00","34687.00","233837.00","642085.00","19276.00","-157846.00","-7907.00","--","495608.00","--","--","3.00","495611.00","0.00","0.00","0.00","7.72"
"110/05/29","105","4","8096","擎亞","7675791.00","345426.00","8021217.00","5608110.00","16557.00","5624667.00","1396240.00","804688.00","236606.00","-7866.00","--","2429668.00","--","--","-33118.00","2396550.00","0.00","0.00","0.00","17.40"
"110/05/29","105","4","8097","常珵","38095.00","463631.00","501726.00","138228.00","90994.00","229222.00","266743.00","711.00","2413.00","2637.00","--","272504.00","--","--","0.00","272504.00","0.00","0.00","0.00","10.22"
"110/05/29","105","4","8099","大世科","1716780.00","338491.00","2055271.00","978058.00","103175.00","1081233.00","672000.00","587.00","299415.00","-1418.00","0.00","970584.00","0.00","--","3454.00","974038.00","0.00","0.00","0.00","14.44"
"110/05/29","105","4","8107","大億金茂","1042578.00","1582954.00","2625532.00","301060.00","972532.00","1273592.00","993350.00","65819.00","244903.00","-19791.00","0.00","1284281.00","--","--","67659.00","1351940.00","0.00","0.00","0.00","12.93"
"110/05/29","105","4","8109","博大","2289287.00","255093.00","2544380.00","1217316.00","73853.00","1291169.00","600441.00","38841.00","647902.00","-12186.00","-21787.00","1253211.00","--","--","0.00","1253211.00","0.00","0.00","400000.00","21.01"
"110/05/29","105","4","8111","立碁","722718.00","991405.00","1714123.00","575556.00","107352.00","682908.00","1171022.00","664.00","-190315.00","45924.00","0.00","1027295.00","0.00","--","3920.00","1031215.00","0.00","0.00","0.00","8.77"
"110/05/29","105","4","8121","越峰","2310766.00","2166265.00","4477031.00","1736375.00","646233.00","2382608.00","1824227.00","317331.00","-573713.00","-90743.00","--","1477102.00","--","--","617321.00","2094423.00","0.00","0.00","0.00","8.10"
"110/05/29","105","4","8147","正淩","541178.00","331231.00","872409.00","314542.00","5587.00","320129.00","248594.00","141314.00","175116.00","-12744.00","0.00","552280.00","0.00","--","0.00","552280.00","0.00","0.00","0.00","22.22"
"110/05/29","105","4","8155","博智","1336520.00","757736.00","2094256.00","725117.00","517.00","725634.00","497560.00","412398.00","458910.00","-246.00","0.00","1368622.00","--","--","--","1368622.00","0.00","0.00","0.00","27.51"
"110/05/29","105","4","8171","天宇","1211474.00","252008.00","1463482.00","866842.00","35570.00","902412.00","514932.00","292076.00","-234529.00","-2830.00","-8579.00","561070.00","--","--","--","561070.00","--","0.00","770000.00","11.06"
"110/05/29","105","4","8176","智捷","866601.00","595762.00","1462363.00","548693.00","35741.00","584434.00","725000.00","0.00","58328.00","-11394.00","-7944.00","763990.00","--","--","113939.00","877929.00","0.00","0.00","816534.00","10.66"
"110/05/29","105","4","8182","加高","3002691.00","1400685.00","4403376.00","1252148.00","528036.00","1780184.00","1070412.00","742948.00","853131.00","-53967.00","--","2612524.00","--","--","10668.00","2623192.00","0.00","0.00","0.00","24.41"
"110/05/29","105","4","8183","精星","2361101.00","897173.00","3258274.00","1736311.00","88361.00","1824672.00","1132511.00","106516.00","230056.00","-24560.00","-10921.00","1433602.00","--","--","--","1433602.00","--","0.00","1200000.00","12.79"
"110/05/29","105","4","8234","新漢","3357632.00","1879082.00","5236714.00","2525151.00","279783.00","2804934.00","1408465.00","352415.00","673288.00","-2388.00","--","2431780.00","--","--","0.00","2431780.00","0.00","75000.00","0.00","17.27"
"110/05/29","105","4","8240","華宏","5970026.00","2547706.00","8517732.00","3379048.00","1404824.00","4783872.00","1000044.00","2062749.00","738077.00","-106925.00","--","3693945.00","--","--","39915.00","3733860.00","--","0.00","0.00","36.94"
"110/05/29","105","4","8255","朋程","2192386.00","1929445.00","4121831.00","926350.00","10730.00","937080.00","748650.00","911187.00","1456121.00","-2633.00","0.00","3113325.00","--","--","71426.00","3184751.00","--","0.00","0.00","41.59"
"110/05/29","105","4","8277","商丞","777059.00","562672.00","1339731.00","350739.00","532.00","351271.00","916288.00","380701.00","-310307.00","1778.00","0.00","988460.00","0.00","--","0.00","988460.00","0.00","0.00","0.00","10.79"
"110/05/29","105","4","8279","生展","558468.00","492703.00","1051171.00","396147.00","17743.00","413890.00","210008.00","163375.00","263898.00","--","--","--","--","--","--","637281.00","0.00","0.00","0.00","30.35"
"110/05/29","105","4","8284","三竹","621615.00","159273.00","780888.00","283282.00","472.00","283754.00","415000.00","12731.00","91106.00","-21703.00","--","--","--","--","--","497134.00","0.00","0.00","0.00","11.98"
"110/05/29","105","4","8289","泰藝","1415973.00","505950.00","1921923.00","466286.00","56261.00","522547.00","775344.00","385617.00","281279.00","-15598.00","-31255.00","1395387.00","--","--","3989.00","1399376.00","0.00","0.00","2588000.00","18.62"
"110/05/29","105","4","8291","尚茂","430770.00","354020.00","784790.00","294802.00","140626.00","435428.00","760240.00","0.00","-410878.00","0.00","--","--","--","--","--","349362.00","0.00","0.00","0.00","4.60"
"110/05/29","105","4","8299","群聯","26755344.00","5220295.00","31975639.00","8904060.00","73354.00","8977414.00","1970740.00","6652449.00","14395601.00","-25965.00","0.00","22992825.00","--","--","5400.00","22998225.00","--","0.00","0.00","116.67"
"110/05/29","105","4","8342","益張","762783.00","793830.00","1556613.00","698284.00","135427.00","833711.00","300427.00","69655.00","324742.00","5022.00","--","699846.00","--","--","23056.00","722902.00","--","0.00","0.00","23.30"
"110/05/29","105","4","8349","恒耀國際","5225807.00","5345726.00","10571533.00","3160219.00","3249433.00","6409652.00","910265.00","1190449.00","825740.00","-288244.00","0.00","2638210.00","--","--","1523671.00","4161881.00","--","0.00","0.00","28.98"
"110/05/29","105","4","8354","冠好","994641.00","1923759.00","2918400.00","892245.00","603614.00","1495859.00","637437.00","58939.00","673645.00","52520.00","--","1422541.00","--","--","--","1422541.00","--","0.00","0.00","22.32"
"110/05/29","105","4","8358","金居","3000291.00","2726508.00","5726799.00","2068999.00","1451938.00","3520937.00","2105880.00","131955.00","-18538.00","-7668.00","0.00","2211629.00","--","--","-5767.00","2205862.00","0.00","0.00","0.00","10.50"
"110/05/29","105","4","8383","千附","3014974.00","1629788.00","4644762.00","1230836.00","155549.00","1386385.00","1181925.00","878413.00","1220507.00","-17263.00","-5205.00","3258377.00","--","--","--","3258377.00","0.00","0.00","281759.00","27.63"
"110/05/29","105","4","8390","金益鼎","1841464.00","946587.00","2788051.00","653335.00","327810.00","981145.00","955395.00","607136.00","170587.00","4275.00","--","1737393.00","0.00","--","69513.00","1806906.00","0.00","0.00","0.00","18.19"
