"","KSC","KBC","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","Date","PL1_N","PH1_N","RSV","K","D","MA60","Long","Cash","YEAR"
"84",95,35,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,22.1900000000001,"2016"
"85",95,40,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,13.3400000000001,"2016"
"86",95,45,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,12.7200000000001,"2016"
"87",95,50,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,7.84000000000005,"2016"
"88",95,55,6294000,157407290,24.95,25.15,24.87,25.01,0.310000000000002,1236,2016-12-30,24.16,25.15,85.8585858585861,48.9003443870738,32.3828211546608,24.877,22,9.78000000000005,"2016"
"89",60,5,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"90",60,10,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,0,400,"2017"
"91",60,15,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,1,368.89,"2017"
"92",60,20,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,4,268.01,"2017"
"93",60,25,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,5,241.23,"2017"
"94",60,30,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,8,142.95,"2017"
"95",60,35,1868060,65192438,34.68,35.04,34.68,34.97,0.460000000000001,627,2017-12-29,33.51,35.04,95.4248366013072,68.1708396819744,53.4690892270218,35.607,11,46.43,"2017"
