"","公司代號","year","股東配發s盈餘分配之現金股利元股"
"118","1527",101,0.37
"119","1528",101,0.55
"120","1529",101,0
"121","1530",101,1.5
"122","1531",101,1.2
"123","1532",101,1
"124","1533",101,0.3
"125","1535",101,4
"126","1536",101,0.3
"127","1537",101,4.5
"128","1538",101,0
"129","1539",101,0
"130","1540",101,1
"131","1541",101,0
"132","1558",101,7.5
"133","1560",101,2.7
"134","1568",101,0.5
"135","1582",101,4.004
"136","1583",101,2
"137","1589",101,2.6
"138","1590",101,3.8
"139","1598",101,0.45
"140","1603",101,0
"141","1604",101,0.6
"142","1605",101,0
"143","1608",101,0.7
"144","1609",101,0.2
"145","1611",101,0.2
"146","1612",101,0.22
"147","1614",101,0.85572238
"148","1615",101,0.4
"149","1616",101,0
"150","1617",101,0
"151","1618",101,0.5
"152","1626",101,2.5
"153","1701",101,0.5
"154","1702",101,1
"155","1704",101,0.75
"156","1707",101,3.7
"157","1708",101,0.5
"158","1709",101,0.3
"159","1710",101,1.2
"160","1711",101,0.5
"161","1712",101,0.8
"162","1713",101,0.45
"163","1714",101,0.2
"164","1717",101,1.1
"165","1718",101,0
"166","1720",101,1.2
"167","1721",101,0
"168","1722",101,2.7
"169","1723",101,7.4
"170","1724",101,1
"171","1725",101,0
"172","1726",101,3.5
"173","1727",101,0.3957
"174","1730",101,1
"175","1731",101,0.35
"176","1732",101,0
"177","1733",101,4.5
"178","1734",101,0.6
"179","1735",101,0.6
"180","1736",101,1.5
"181","1737",101,0.26
"182","1760",101,0
"183","1762",101,1.5
"184","1773",101,3
"185","1776",101,0.9
"186","1783",101,0
"187","1786",101,0
"188","1789",101,1.2
"189","1802",101,0.1
"190","1805",101,0
"191","1806",101,0
"192","1808",101,3
"193","1809",101,0.3
"194","1810",101,0
"195","1817",101,1.2
"196","1902",101,0
"197","1903",101,0
"198","1904",101,0.6
"199","1905",101,0
"200","1906",101,0
"201","1907",101,0.4
"202","1909",101,0.4
"203","2002",101,0.4
"204","2002A",101,1.3
"205","2006",101,1.3
"206","2007",101,0
"207","2008",101,0
"208","2009",101,0
"209","2010",101,0.5
"210","2012",101,0
"211","2013",101,2.1
"212","2014",101,0
"213","2015",101,2.5
"214","2017",101,0
"215","2020",101,0.19450913
"216","2022",101,0
"217","2023",101,0
"218","2024",101,0
"219","2025",101,0
"220","2027",101,0
"221","2028",101,0
"222","2029",101,0.35
"223","2030",101,0
"224","2031",101,0.5
"225","2032",101,0
"226","2033",101,0.7
"227","2034",101,0.7
"228","2038",101,0.28
"229","2049",101,2.7
"230","2059",101,6
"231","2062",101,2
"232","2101",101,0
"233","2102",101,0.1
"234","2103",101,2.6
"235","2104",101,2.2
"236","2105",101,1.5
"237","2106",101,1.7
"238","2107",101,1.8
"239","2108",101,0.5
"240","2109",101,0
"241","2114",101,5
"242","2115",101,1.047375
"243","2201",101,0.8
"244","2204",101,0.9
"245","2206",101,0.45
"246","2207",101,9
"247","2208",101,0.8
"248","2227",101,13.3
"249","2228",101,1.5
"250","2231",101,4
"251","2301",101,2.35
"252","2302",101,0
"253","2303",101,0.4
"254","2305",101,0
"255","2308",101,5.3
"256","2311",101,1.05
"257","2312",101,0.1
"258","2313",101,0.5
"259","2314",101,0
"260","2316",101,0.2
"261","2317",101,1.5
"262","2321",101,0
"263","2323",101,0
"264","2324",101,1
"265","2325",101,1.37
"266","2327",101,0
"267","2328",101,0.3
"268","2329",101,0
"269","2330",101,3
"270","2331",101,0.035
"271","2332",101,1
"272","2337",101,0
"273","2338",101,0.37
"274","2340",101,0.45
"275","2342",101,0
"276","2344",101,0
"277","2345",101,1.4996
"278","2347",101,2
"279","2348",101,0
"280","2349",101,0
"281","2351",101,1
"282","2352",101,0
"283","2353",101,0
"284","2354",101,1
"285","2355",101,2.2
"286","2356",101,0.8
"287","2357",101,19
"288","2358",101,0
"289","2359",101,0
"290","2360",101,2
"291","2362",101,2
"292","2363",101,0
"293","2364",101,0
"294","2365",101,0.06781802
"295","2367",101,0
"296","2368",101,0
"297","2369",101,0.7103
"298","2371",101,0
"299","2373",101,3
"300","2374",101,2.2
"301","2375",101,0
"302","2376",101,2
"303","2377",101,0.3
"304","2379",101,1.2
"305","2380",101,0
