"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"36",3.5,0.36,18,3.39690152068022,3.4745209836343,0,62
"37",3.5,0.37,18,3.39343283164229,3.46903530512315,0,62
"38",3.5,0.38,18,3.37531297076046,3.45213644013468,0,62
"39",3.5,0.39,18,3.38854379645145,3.47342779732446,0,62
"40",3.5,0.4,18,3.40201178533451,3.49123189071336,0,62
"41",3.5,0.41,18,3.4030007740404,3.45582615890393,0,60
"42",3.5,0.42,18,3.43501292615132,3.48722972791903,0,60
"43",3.5,0.43,18,3.28800327052587,3.33056789227189,0,59
"44",3.5,0.44,18,3.29687477387747,3.34186395800551,0,59
"45",3.5,0.45,18,3.27839780329063,3.32014868075816,0,59
"46",3.5,0.46,18,3.2331594450524,3.20930630465622,0,56
"47",3.5,0.47,18,3.05508493364318,3.05625852961768,0,56
"48",3.5,0.48,19,2.97894370078082,3.0018836704785,0,56
"49",3.5,0.49,19,2.8355693216952,2.85863822522009,0,56
"50",3.5,0.5,19,2.83473509123725,2.8591527912763,0,56
"51",4,0.01,24,3.60267535302589,4.29947384693529,0,267
"52",4,0.02,24,3.51515868206492,4.38927909247509,0,237
"53",4,0.03,24,3.81389097626433,3.99760899876693,0,207
"54",4,0.04,24,3.88783180807465,3.99648711038563,0,187
"55",4,0.05,24,3.5436718059719,3.81349773031758,0,172
"56",4,0.06,24,3.16916551836548,3.47450233914036,0,159
"57",4,0.07,24,3.44927994016359,3.76602058696046,0,154
"58",4,0.08,24,3.43526886480101,3.78281101180761,0,145
"59",4,0.09,25,3.71333928744105,4.0681177043151,0,135
"60",4,0.1,25,3.38068903354256,3.84636674845204,0,130
"61",4,0.11,25,3.30278899784063,3.69957159516592,0,125
"62",4,0.12,25,3.2897911487406,3.69327844748229,0,122
"63",4,0.13,25,3.21254230915322,3.57590765373884,0,115
"64",4,0.14,26,3.18453184260251,3.58021554807235,0,115
"65",4,0.15,26,3.1264132682011,3.53231323921891,0,112
"66",4,0.16,26,3.39758009644458,3.77205420765058,0,111
"67",4,0.17,26,3.42967283761247,3.79773604026542,0,108
"68",4,0.18,26,3.4678358592101,3.86306625242632,0,104
"69",4,0.19,26,3.47235515899842,3.85770717558941,0,104
"70",4,0.2,26,3.55901907552837,3.9426170633802,0,102
"71",4,0.21,26,3.49821601006534,3.77474776137019,0,98
"72",4,0.22,26,3.48530631682495,3.7643131697264,0,96
"73",4,0.23,26,3.49116146942227,3.73944885255462,0,94
