"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"204",2.5,0.04,6,7.76802808964693,8.30652549572613,0,74
"205",2.5,0.05,6,7.72498470915074,8.28263488851084,0,71
"206",2.5,0.06,6,7.78087006178112,8.16998796130617,0,65
"207",2.5,0.07,6,7.84062208256493,8.26081027462632,0,61
"208",2.5,0.08,6,7.83164487733838,8.27911296939538,0,57
"209",2.5,0.09,6,8.25738014311173,8.77156451263752,0,55
"210",2.5,0.1,6,8.14922811405318,8.6354407371166,0,54
"211",2.5,0.11,6,8.06718109991877,8.50417271403925,0,52
"212",2.5,0.12,6,8.12033856863441,8.49736312716622,0,49
"213",2.5,0.13,6,8.21994380748006,8.62767588281092,0,49
"214",2.5,0.14,6,8.2395873846123,8.60056511438216,0,48
"215",2.5,0.15,6,8.35700105521258,8.63426552603294,0,47
"216",2.5,0.16,6,8.3725024319067,8.64887415996404,0,47
"217",2.5,0.17,6,8.46567121953177,8.76634285768665,0,46
"218",2.5,0.18,6,8.47670867916372,8.64637826864901,0,46
"219",2.5,0.19,6,8.49634526039177,8.69197407182046,0,44
"220",2.5,0.2,6,8.36751199551319,8.61084184147326,0,43
"221",2.5,0.21,6,8.37356619725595,8.60501922743274,0,43
"222",2.5,0.22,6,8.19767043492158,8.49687918813289,0,40
"223",2.5,0.23,7,8.05470982695961,8.36522928815308,0,39
"224",2.5,0.24,7,8.15196387806135,8.36853166828594,0,38
"225",2.5,0.25,7,8.13206606536137,8.39329224966691,0,35
"226",2.5,0.26,7,8.26495329526433,8.53175446972951,0,35
"227",2.5,0.27,7,8.19750421431982,8.35501672014682,0,33
"228",2.5,0.28,7,8.3319524076162,8.4894649134432,0,33
"229",2.5,0.29,7,8.02554268546054,8.19647706893133,0,33
"230",2.5,0.3,7,7.96927495516328,8.21841200134383,0,32
"231",2.5,0.31,7,7.87571615750099,8.12709316974768,0,32
"232",2.5,0.32,7,7.90074538629226,8.13887942663053,0,32
"233",2.5,0.33,7,7.75489127356586,7.99302531390412,0,32
"234",2.5,0.34,7,7.74846620747518,7.98623281928869,0,32
"235",2.5,0.35,7,7.69942696298868,7.91073313706111,0,31
"236",2.5,0.36,7,7.70396883911974,7.98093520439942,0,30
"237",2.5,0.37,7,7.71337230180733,7.99187199416159,0,30
"238",2.5,0.38,7,7.681799148541,7.96103022578073,0,30
"239",2.5,0.39,7,7.66041343110215,7.9396380454924,0,30
"240",2.5,0.4,7,7.49754036526221,7.77676497965246,0,30
"241",2.5,0.41,7,7.58463310897428,7.72895655199495,0,29
"242",2.5,0.42,7,7.49868813067919,7.72226903144829,0,29
"243",2.5,0.43,8,7.37386071927686,7.60122562003415,0,29
"244",2.5,0.44,8,7.36916381984625,7.59305106941048,0,29
"245",2.5,0.45,8,7.55039878657023,7.7868664837072,0,29
"246",2.5,0.46,8,7.54226807401965,7.78073888629222,0,29
"247",2.5,0.47,8,7.575790675491,7.77118861390721,0,29
"248",2.5,0.48,8,7.575790675491,7.72145746786027,0,29
"249",2.5,0.49,8,7.4921163453776,7.64918072532346,0,28
"250",2.5,0.5,8,7.52031053680929,7.65857878913402,0,28
"251",3,0.01,8,7.44204391264283,7.8763989114454,1,190
"252",3,0.02,8,7.29931105790425,7.8636925258369,1,166
"253",3,0.03,8,7.94876370833228,8.4909430024247,0,154
"254",3,0.04,8,7.99460677362066,8.4811292889297,0,139
"255",3,0.05,8,8.09062506025916,8.49562029360836,0,118
"256",3,0.06,8,8.22413714003714,8.67749470023643,0,113
"257",3,0.07,8,8.3046477497903,8.75937807413784,0,94
"258",3,0.08,8,8.19879346555316,8.73740988399715,0,86
"259",3,0.09,8,8.23109822506894,8.72178979365028,0,81
"260",3,0.1,8,8.25724812680306,8.64887919703038,0,76
"261",3,0.11,8,8.17702770930574,8.57444682177759,0,75
"262",3,0.12,8,8.18412766390434,8.57058044131563,0,71
"263",3,0.13,8,8.17686647110636,8.56959972380759,0,71
"264",3,0.14,8,8.33399150981837,8.55616562776506,0,63
"265",3,0.15,8,9.542633636083,9.80240308806713,0,63
"266",3,0.16,8,9.35673791558874,9.61480324596423,0,61
"267",3,0.17,8,9.42574656197354,9.63703935411027,0,59
"268",3,0.18,8,9.35512200266398,9.57700712964604,0,57
"269",3,0.19,8,9.33849746352267,9.57687576971592,0,56
"270",3,0.2,8,9.31598778375961,9.55455510251017,0,55
"271",3,0.21,8,9.17753499252264,9.46102306247956,0,52
"272",3,0.22,8,9.27479153359774,9.50448257691385,0,51
"273",3,0.23,8,9.29508943190945,9.47680708066488,0,49
"274",3,0.24,8,9.26041885326025,9.44342075570119,0,47
"275",3,0.25,8,9.27273653404231,9.47918001121689,0,45
"276",3,0.26,8,9.17981151428215,9.3691798873647,0,44
"277",3,0.27,8,9.23056423130548,9.36637598418959,0,42
"278",3,0.28,8,9.44256525624402,9.57837700912813,0,42
"279",3,0.29,8,9.42852674957669,9.55806739209928,0,40
"280",3,0.3,8,9.41764298476526,9.55685458632193,0,40
"281",3,0.31,8,9.41764298476526,9.54637288336329,0,40
"282",3,0.32,8,9.32856780173121,9.45933679303575,0,39
"283",3,0.33,8,9.41530632699155,9.55155287506355,0,38
"284",3,0.34,8,9.12613608716044,9.22247746943606,0,37
"285",3,0.35,8,9.11532241044029,9.21202477696656,0,37
"286",3,0.36,8,9.11824267401011,9.20666351245539,0,37
"287",3,0.37,8,9.11631664077958,9.20658694081149,0,37
"288",3,0.38,8,9.11631664077958,9.20430251247641,0,37
