"","lb","p","max_overlap","median_reward_avg","avg_reward_avg","lose_count","trade_count"
"56",5.5,0.06,63,2.61926893036163,3.12930552055797,1,395
"57",5.5,0.07,63,2.51272941868702,3.05759934394217,1,367
"58",5.5,0.08,63,2.37556105611019,2.97197705091909,1,349
"59",5.5,0.09,64,2.29715456565764,2.8660862684121,1,329
"60",5.5,0.1,64,2.30522846938228,2.75008005152814,1,311
"61",5.5,0.11,65,2.3063213444311,2.74256942005287,2,297
"62",5.5,0.12,65,2.27698438285686,2.6988369192308,2,289
"63",5.5,0.13,64,2.34629022660827,2.72268317928606,2,276
"64",5.5,0.14,65,2.27539848224992,2.64211493148294,2,271
"65",5.5,0.15,65,2.19651274595749,2.56532074702888,2,266
"66",5.5,0.16,65,2.23173995664604,2.539150316604,2,257
"67",5.5,0.17,65,2.20545853704566,2.50346874990686,2,249
"68",5.5,0.18,64,2.14918311235474,2.42705550982934,2,245
"69",5.5,0.19,64,2.08076100553112,2.32254069707247,2,239
"70",5.5,0.2,64,2.05578856749149,2.27892797942923,2,234
"71",5.5,0.21,64,2.03360409216533,2.24163863368741,2,228
"72",5.5,0.22,63,2.03941967387727,2.242354599242,2,221
"73",5.5,0.23,63,2.04649266464137,2.25471386854702,2,219
"74",5.5,0.24,63,1.90906850888063,2.13551418195662,2,216
"75",5.5,0.25,64,1.8455308024847,2.05117509032353,3,210
"76",5.5,0.26,64,1.8294145257943,2.03094764066068,4,210
"77",5.5,0.27,64,1.8007406350419,2.02350140518504,5,209
"78",5.5,0.28,64,1.77391651160466,1.98697836496393,5,205
"79",5.5,0.29,64,1.73490219310163,1.91721673473335,5,201
"80",5.5,0.3,63,1.74242956440824,1.89404681903231,5,196
"81",5.5,0.31,63,1.67533838522462,1.81519614787928,5,193
"82",5.5,0.32,63,1.64500796090099,1.77909338035522,5,188
"83",5.5,0.33,63,1.61623792032812,1.75203065169214,5,188
"84",5.5,0.34,63,1.56178134066419,1.68091034122636,5,186
"85",5.5,0.35,64,1.54937777184076,1.67010671701466,5,184
"86",5.5,0.36,64,1.52982061948654,1.64812194644643,5,184
"87",5.5,0.37,64,1.52254464532638,1.6471105380303,5,182
"88",5.5,0.38,64,1.54004797670791,1.66192877943091,5,182
"89",5.5,0.39,63,1.46414931667052,1.58692657539067,5,180
"90",5.5,0.4,63,1.42555853326754,1.55624692936833,5,180
"91",5.5,0.41,63,1.42877053800086,1.55467112772098,5,180
"92",5.5,0.42,63,1.43000881415773,1.55014732568394,5,179
"93",5.5,0.43,63,1.43830611634439,1.55798215196673,5,177
"94",5.5,0.44,63,1.36631653771069,1.49423434358251,5,175
"95",5.5,0.45,63,1.36118500807174,1.49362515355669,5,175
"96",5.5,0.46,63,1.34810429729483,1.47924514863536,5,174
"97",5.5,0.47,63,1.32758367403557,1.43228772533448,5,173
"98",5.5,0.48,63,1.3147101257332,1.4200194966528,7,173
"99",5.5,0.49,63,1.2922581542523,1.39637439489954,7,171
"100",5.5,0.5,63,1.28660878176059,1.39058393640786,7,170
"101",8,0.01,153,1.67698619405824,2.18752790279654,1,2114
"102",8,0.02,151,1.72471848538923,2.29157169792198,1,1647
"103",8,0.03,151,1.74723522199767,2.36050717180361,1,1378
"104",8,0.04,151,1.85220625307401,2.44490252072959,1,1233
"105",8,0.05,151,1.84675771932663,2.41394650502727,1,1145
"106",8,0.06,151,1.84885637399895,2.37836021029452,1,1070
"107",8,0.07,152,1.81832948839618,2.35174226228141,1,1006
"108",8,0.08,153,1.75850874852308,2.2564565355104,2,942
"109",8,0.09,153,1.75773846541119,2.18835245574407,2,890
"110",8,0.1,153,1.7296447105705,2.14415506198536,2,863
"111",8,0.11,153,1.70920674506163,2.12751616121569,2,819
"112",8,0.12,153,1.5952621121347,1.99762593936637,2,785
"113",8,0.13,153,1.52232568900478,1.92133594397885,2,752
"114",8,0.14,154,1.40549637833175,1.74659144071113,3,719
"115",8,0.15,155,1.37363303405183,1.69600677845751,4,697
"116",8,0.16,155,1.31858279443296,1.61259799116055,4,674
