出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"110/05/29","103","4","3625","西勝","658369.00","555361.00","103008.00","--","--","103008.00","149728.00","--","-46720.00","-68063.00","-114783.00","7012.00","-121795.00","--","--","-121795.00","3524.00","--","-118271.00","-120566.00","--","-1229.00","-117042.00","--","-1229.00","-2.40"
"110/05/29","103","4","3628","盈正","2827996.00","2170487.00","657509.00","--","--","657509.00","432021.00","--","225488.00","40432.00","265920.00","54054.00","211866.00","--","--","211866.00","14927.00","--","226793.00","212026.00","--","-160.00","226636.00","--","157.00","4.71"
"110/05/29","103","4","3629","地心引力","181920.00","209190.00","-27270.00","--","--","-27270.00","35053.00","--","-62323.00","-61064.00","-123387.00","1419.00","-124806.00","--","--","-124806.00","1804.00","--","-123002.00","--","--","--","--","--","--","-5.91"
"110/05/29","103","4","3630","新鉅科","1623711.00","1739462.00","-115751.00","--","--","-115751.00","369708.00","--","-485459.00","81796.00","-403663.00","7956.00","-411619.00","--","--","-411619.00","56916.00","--","-354703.00","-411619.00","--","--","-354703.00","--","--","-4.06"
"110/05/29","103","4","3631","晟楠","1065291.00","961747.00","103544.00","--","--","103544.00","62043.00","--","41501.00","32321.00","73822.00","25735.00","48087.00","--","--","48087.00","78671.00","--","126758.00","48087.00","0.00","0.00","126758.00","0.00","0.00","0.65"
"110/05/29","103","4","3632","研勤","993834.00","774903.00","218931.00","732.00","--","218199.00","282521.00","--","-64322.00","10214.00","-54108.00","-2421.00","-51687.00","--","--","-51687.00","16347.00","--","-35340.00","-59885.00","--","8198.00","-44804.00","--","9464.00","-1.98"
"110/05/29","103","4","3642","駿熠電","770070.00","628081.00","141989.00","--","--","141989.00","139671.00","--","2318.00","25717.00","28035.00","3588.00","24447.00","--","--","24447.00","22729.00","--","47176.00","24447.00","--","--","47176.00","--","--","0.79"
"110/05/29","103","4","3646","艾恩特","641583.00","509159.00","132424.00","--","--","132424.00","166529.00","--","-34105.00","10564.00","-23541.00","3336.00","-26877.00","--","--","-26877.00","15525.00","--","-11352.00","-26877.00","0.00","0.00","-11352.00","0.00","0.00","-0.70"
"110/05/29","103","4","3652","精聯","1935370.00","1299559.00","635811.00","--","--","635811.00","603842.00","--","31969.00","8313.00","40282.00","6474.00","33808.00","--","--","33808.00","8122.00","--","41930.00","33667.00","--","141.00","42004.00","--","-74.00","0.72"
"110/05/29","103","4","3663","鑫科","3146374.00","2938387.00","207987.00","--","--","207987.00","205148.00","--","2839.00","14866.00","17705.00","5810.00","11895.00","--","--","11895.00","11722.00","--","23617.00","24572.00","--","-12677.00","33024.00","--","-9407.00","0.34"
