出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"110/05/29","104","4","1595","川寶","1699315.00","799640.00","2498955.00","316051.00","296627.00","612678.00","386875.00","253563.00","1232332.00","13507.00","--","1886277.00","--","--","--","1886277.00","--","0.00","0.00","48.76"
"110/05/29","104","4","1599","宏佳騰","1143051.00","659069.00","1802120.00","457372.00","25568.00","482940.00","449805.00","487161.00","427764.00","-45550.00","--","1319180.00","--","--","--","1319180.00","0.00","0.00","0.00","29.33"
"110/05/29","104","4","1742","台蠟","574489.00","500114.00","1074603.00","383318.00","55399.00","438717.00","646906.00","--","-17847.00","6827.00","--","635886.00","--","--","0.00","635886.00","0.00","0.00","0.00","9.83"
"110/05/29","104","4","1752","南光","1072452.00","1972968.00","3045420.00","620927.00","430175.00","1051102.00","1002498.00","666198.00","325622.00","--","0.00","--","--","--","--","1994318.00","0.00","5124186.00","0.00","19.89"
"110/05/29","104","4","1777","生泰","813822.00","410364.00","1224186.00","172337.00","82788.00","255125.00","300595.00","314322.00","357157.00","-3013.00","--","--","--","--","--","969061.00","0.00","0.00","0.00","32.24"
"110/05/29","104","4","1781","合世","437146.00","258736.00","695882.00","142111.00","2629.00","144740.00","474076.00","126797.00","-60486.00","10755.00","--","551142.00","--","--","--","551142.00","0.00","0.00","0.00","11.63"
"110/05/29","104","4","1784","訊聯","811171.00","1104312.00","1915483.00","178419.00","339703.00","518122.00","496889.00","623621.00","43708.00","-5379.00","-17824.00","1141015.00","--","--","256346.00","1397361.00","0.00","0.00","616000.00","23.25"
"110/05/29","104","4","1785","光洋科","10992819.00","10179106.00","21171925.00","13165164.00","3253011.00","16418175.00","4085643.00","3048106.00","-2532463.00","133359.00","-261685.00","4472960.00","--","--","280790.00","4753750.00","0.00","0.00","11662000.00","11.27"
"110/05/29","104","4","1788","杏昌","1873265.00","557933.00","2431198.00","894382.00","10813.00","905195.00","350000.00","658219.00","514677.00","3107.00","--","1526003.00","--","--","0.00","1526003.00","0.00","0.00","0.00","43.60"
"110/05/29","104","4","1796","金穎生技","185964.00","159215.00","345179.00","67112.00","55001.00","122113.00","240464.00","15191.00","-32694.00","105.00","--","223066.00","--","--","--","223066.00","0.00","0.00","0.00","9.28"
"110/05/29","104","4","1799","易威","430968.00","520945.00","951913.00","19757.00","4729.00","24486.00","654114.00","636069.00","-423446.00","7112.00","--","873849.00","0.00","--","53578.00","927427.00","--","0.00","0.00","13.36"
"110/05/29","104","4","1813","寶利徠","466028.00","665176.00","1131204.00","77952.00","32912.00","110864.00","466355.00","262855.00","299135.00","-8005.00","--","1020340.00","--","--","0.00","1020340.00","0.00","0.00","0.00","21.88"
"110/05/29","104","4","1815","富喬","2715412.00","9258356.00","11973768.00","1605158.00","3642455.00","5247613.00","4115573.00","1726335.00","1017112.00","-26574.00","-106291.00","6726155.00","--","--","--","6726155.00","--","0.00","10000000.00","16.75"
"110/05/29","104","4","2035","唐榮公司","3855712.00","14914580.00","18770292.00","3780842.00","9459649.00","13240491.00","3500000.00","0.00","1927277.00","102524.00","--","5529801.00","--","--","0.00","5529801.00","0.00","0.00","0.00","15.80"
"110/05/29","104","4","2061","風青","797604.00","206710.00","1004314.00","382128.00","509.00","382637.00","621481.00","90620.00","-89101.00","--","-1323.00","621677.00","--","--","0.00","621677.00","0.00","0.00","73000.00","10.01"
"110/05/29","104","4","2063","世鎧","587577.00","582939.00","1170516.00","340918.00","217311.00","558229.00","432689.00","28778.00","149952.00","868.00","--","612287.00","--","--","--","612287.00","0.00","0.00","0.00","14.15"
"110/05/29","104","4","2064","晉椿","1396661.00","1348916.00","2745577.00","788973.00","519572.00","1308545.00","700000.00","93653.00","643379.00","0.00","--","--","--","--","--","1437032.00","0.00","0.00","0.00","20.53"
"110/05/29","104","4","2065","世豐","482276.00","783349.00","1265625.00","269378.00","134229.00","403607.00","300000.00","161000.00","315669.00","112000.00","-26651.00","--","--","--","--","862018.00","0.00","0.00","806780.00","29.53"
"110/05/29","104","4","2066","世德","995419.00","339578.00","1334997.00","252406.00","14991.00","267397.00","365029.00","148208.00","554363.00","--","--","--","--","--","--","1067600.00","0.00","0.00","0.00","29.25"
"110/05/29","104","4","2067","嘉鋼","565165.00","680554.00","1245719.00","576269.00","249842.00","826111.00","303662.00","95702.00","-30983.00","23675.00","--","392056.00","--","--","27552.00","419608.00","--","0.00","0.00","12.91"
"110/05/29","104","4","2070","精湛","694213.00","528216.00","1222429.00","255881.00","253723.00","509604.00","266800.00","141364.00","303827.00","834.00","--","712825.00","--","--","--","712825.00","0.00","0.00","0.00","26.72"
"110/05/29","104","4","2221","大甲","710472.00","466262.00","1176734.00","260785.00","288088.00","548873.00","424250.00","52500.00","149305.00","-3554.00","-5653.00","616848.00","0.00","--","11013.00","627861.00","0.00","0.00","374000.00","14.67"
"110/05/29","104","4","2230","泰茂","424920.00","382987.00","807907.00","198658.00","74431.00","273089.00","396173.00","59878.00","67043.00","11724.00","--","534818.00","--","--","--","534818.00","--","0.00","0.00","13.50"
"110/05/29","104","4","2235","謚源","472527.00","1003086.00","1475613.00","474062.00","22941.00","497003.00","318780.00","203150.00","456680.00","0.00","--","--","--","--","--","978610.00","--","0.00","0.00","30.70"
"110/05/29","104","4","2596","綠意","2421084.00","155115.00","2576199.00","979618.00","0.00","979618.00","827315.00","113303.00","446925.00","0.00","--","1387543.00","--","--","209038.00","1596581.00","--","0.00","0.00","16.77"
"110/05/29","104","4","2640","大車隊","1064068.00","1515035.00","2579103.00","1311863.00","58059.00","1369922.00","442244.00","452542.00","311897.00","1.00","--","1206684.00","--","--","2497.00","1209181.00","0.00","0.00","0.00","27.29"
"110/05/29","104","4","2641","正德","180776.00","4034908.00","4215684.00","770951.00","1876169.00","2647120.00","1195438.00","52057.00","213773.00","107296.00","--","1568564.00","--","--","--","1568564.00","0.00","0.00","0.00","13.12"
"110/05/29","104","4","2643","捷迅","818637.00","153044.00","971681.00","434671.00","80413.00","515084.00","216020.00","--","203988.00","36589.00","--","456597.00","--","--","--","456597.00","--","0.00","0.00","21.14"
"110/05/29","104","4","2718","晶悅","286438.00","601252.00","887690.00","101355.00","193848.00","295203.00","225760.00","82463.00","287042.00","-2778.00","--","--","--","--","--","592487.00","--","0.00","0.00","26.24"
"110/05/29","104","4","2719","燦星旅","868681.00","85763.00","954444.00","479950.00","433.00","480383.00","362920.00","107692.00","3342.00","107.00","--","474061.00","--","--","--","474061.00","0.00","0.00","0.00","13.06"
"110/05/29","104","4","2724","富驛-KY","513944.00","1750418.00","2264362.00","1234704.00","395134.00","1629838.00","381723.00","324585.00","-90160.00","18376.00","0.00","634524.00","0.00","--","0.00","634524.00","--","0.00","0.00","16.62"
"110/05/29","104","4","2726","雅茗-KY","840997.00","511948.00","1352945.00","354398.00","466459.00","820857.00","273503.00","100309.00","114157.00","25678.00","--","513647.00","--","--","18441.00","532088.00","--","0.00","0.00","18.78"
"110/05/29","104","4","2729","瓦城","1204348.00","1082170.00","2286518.00","414884.00","36466.00","451350.00","232660.00","1210890.00","385959.00","5659.00","--","1835168.00","--","--","--","1835168.00","0.00","0.00","0.00","78.88"
"110/05/29","104","4","2732","六角","826960.00","471121.00","1298081.00","406669.00","33775.00","440444.00","279515.00","409124.00","225037.00","-12060.00","-93845.00","807771.00","--","--","49866.00","857637.00","--","0.00","988000.00","29.96"
"110/05/29","104","4","2734","易飛網","814550.00","293336.00","1107886.00","248855.00","292618.00","541473.00","302598.00","216714.00","45889.00","1212.00","--","566413.00","--","--","--","566413.00","--","0.00","0.00","18.72"
"110/05/29","104","4","2736","高野","676639.00","1115654.00","1792293.00","301293.00","255583.00","556876.00","475208.00","306400.00","453809.00","--","--","1235417.00","--","--","--","1235417.00","0.00","677000.00","0.00","27.36"
"110/05/29","104","4","2740","天蔥","213162.00","208547.00","421709.00","119369.00","13081.00","132450.00","159782.00","89126.00","40391.00","-40.00","--","289259.00","--","--","--","289259.00","0.00","0.00","0.00","18.10"
"110/05/29","104","4","2743","山富","1087816.00","333414.00","1421230.00","863629.00","2229.00","865858.00","278782.00","79215.00","197422.00","-47.00","--","555372.00","0.00","--","--","555372.00","--","0.00","0.00","19.92"
"110/05/29","104","4","2745","五福","1093336.00","157680.00","1251016.00","790655.00","2465.00","793120.00","250445.00","73847.00","133604.00","--","--","457896.00","--","--","--","457896.00","--","0.00","0.00","18.28"
"110/05/29","104","4","2916","滿心","942515.00","351887.00","1294402.00","324942.00","72138.00","397080.00","546269.00","127250.00","225044.00","-1241.00","--","897322.00","--","--","--","897322.00","0.00","0.00","0.00","16.43"
"110/05/29","104","4","2924","東凌-KY","1132666.00","283672.00","1416338.00","275440.00","244219.00","519659.00","351051.00","391946.00","115879.00","40115.00","-2312.00","896679.00","--","--","--","896679.00","--","0.00","37000.00","25.57"
"110/05/29","104","4","2926","誠品生活","2829035.00","1750374.00","4579409.00","2408228.00","594963.00","3003191.00","451330.00","616351.00","517146.00","-8609.00","--","1576218.00","--","--","--","1576218.00","--","0.00","0.00","34.92"
"110/05/29","104","4","2928","紅馬-KY","1320405.00","481407.00","1801812.00","576069.00","191595.00","767664.00","425702.00","714761.00","124062.00","-230377.00","--","1034148.00","--","--","--","1034148.00","0.00","0.00","0.00","24.29"
"110/05/29","104","4","2937","集雅社","729511.00","164767.00","894278.00","484592.00","21631.00","506223.00","300000.00","1500.00","86555.00","--","--","388055.00","--","--","--","388055.00","0.00","0.00","0.00","12.94"
"110/05/29","104","4","3064","泰偉","352875.00","665487.00","1018362.00","379748.00","9166.00","388914.00","721051.00","110002.00","-281738.00","63177.00","0.00","612492.00","--","--","16956.00","629448.00","0.00","0.00","0.00","8.49"
"110/05/29","104","4","3066","李洲","540890.00","871219.00","1412109.00","507487.00","106566.00","614053.00","830706.00","3952.00","-413496.00","94236.00","--","515398.00","--","--","282658.00","798056.00","--","0.00","0.00","6.20"
"110/05/29","104","4","3067","全域","222518.00","108160.00","330678.00","59714.00","12449.00","72163.00","290252.00","1360.00","-40294.00","7197.00","--","258515.00","--","--","0.00","258515.00","0.00","0.00","0.00","8.91"
"110/05/29","104","4","3071","協禧","1885934.00","613921.00","2499855.00","992343.00","19801.00","1012144.00","1460679.00","33039.00","-54399.00","48392.00","--","1487711.00","--","--","0.00","1487711.00","0.00","0.00","0.00","10.19"
"110/05/29","104","4","3073","天方能源","261603.00","292094.00","553697.00","76440.00","168247.00","244687.00","464637.00","8566.00","-156437.00","-7756.00","0.00","309010.00","--","--","--","309010.00","--","0.00","0.00","6.65"
"110/05/29","104","4","3078","僑威","4835894.00","1597382.00","6433276.00","2280560.00","145488.00","2426048.00","2273911.00","214286.00","1329811.00","189220.00","--","4007228.00","--","--","--","4007228.00","--","0.00","0.00","17.62"
"110/05/29","104","4","3081","聯亞","2977556.00","1015610.00","3993166.00","399301.00","4848.00","404149.00","699098.00","1527434.00","1362485.00","0.00","--","--","--","--","--","3589017.00","0.00","0.00","0.00","51.34"
"110/05/29","104","4","3083","網龍","1199801.00","206451.00","1406252.00","213929.00","2919.00","216848.00","857044.00","421551.00","-97151.00","6049.00","0.00","1187493.00","--","--","1911.00","1189404.00","--","0.00","0.00","13.86"
"110/05/29","104","4","3085","新零售","355928.00","27994.00","383922.00","66257.00","--","66257.00","712267.00","0.00","-394602.00","0.00","--","317665.00","--","--","0.00","317665.00","0.00","0.00","0.00","4.46"
"110/05/29","104","4","3086","華義","315114.00","493675.00","808789.00","197450.00","288140.00","485590.00","598117.00","27925.00","-307279.00","3933.00","--","322696.00","--","--","503.00","323199.00","--","0.00","0.00","5.40"
"110/05/29","104","4","3088","艾訊","2286128.00","704409.00","2990537.00","998872.00","253451.00","1252323.00","790310.00","143033.00","730035.00","29689.00","--","1693067.00","--","--","45147.00","1738214.00","0.00","0.00","0.00","21.42"
"110/05/29","104","4","3089","元炬","725650.00","272800.00","998450.00","168226.00","32722.00","200948.00","738905.00","244237.00","-244619.00","48815.00","--","787338.00","--","--","10164.00","797502.00","--","0.00","0.00","10.66"
"110/05/29","104","4","3093","港建","921390.00","330742.00","1252132.00","259388.00","33069.00","292457.00","362888.00","49699.00","440115.00","1566.00","--","854268.00","--","--","105407.00","959675.00","0.00","0.00","0.00","23.54"
"110/05/29","104","4","3095","及成","2425683.00","2433060.00","4858743.00","3470987.00","631356.00","4102343.00","1092763.00","43425.00","-509259.00","-62296.00","0.00","564633.00","--","--","191767.00","756400.00","0.00","0.00","0.00","5.17"
"110/05/29","104","4","3105","穩懋","6984103.00","17127370.00","24111473.00","4605604.00","2296769.00","6902373.00","5965641.00","3815017.00","7045498.00","382944.00","--","17209100.00","--","--","0.00","17209100.00","0.00","0.00","0.00","28.85"
"110/05/29","104","4","3114","好德","1272912.00","280540.00","1553452.00","716205.00","3738.00","719943.00","500137.00","52062.00","238298.00","43012.00","0.00","833509.00","--","--","--","833509.00","--","0.00","0.00","16.67"
"110/05/29","104","4","3115","寶島極","594417.00","163409.00","757826.00","346019.00","2710.00","348729.00","436976.00","--","-41152.00","13273.00","--","409097.00","--","--","0.00","409097.00","--","0.00","0.00","9.36"
"110/05/29","104","4","3118","進階","501997.00","179920.00","681917.00","153305.00","3985.00","157290.00","324529.00","55945.00","144153.00","--","--","--","--","--","--","524627.00","0.00","0.00","0.00","16.17"
"110/05/29","104","4","3122","笙泉","469442.00","209613.00","679055.00","150478.00","8204.00","158682.00","392999.00","40339.00","98483.00","755.00","-12203.00","520373.00","--","--","0.00","520373.00","--","0.00","964000.00","13.57"
"110/05/29","104","4","3128","昇銳","523447.00","410247.00","933694.00","254932.00","92814.00","347746.00","420000.00","117415.00","33052.00","-244.00","--","570223.00","--","--","15725.00","585948.00","--","0.00","0.00","13.58"
"110/05/29","104","4","3131","弘塑","2319003.00","999766.00","3318769.00","1356584.00","237550.00","1594134.00","246838.00","601772.00","822852.00","53173.00","--","1724635.00","--","--","--","1724635.00","0.00","0.00","0.00","69.87"
"110/05/29","104","4","3141","晶宏","775904.00","260351.00","1036255.00","214955.00","3236.00","218191.00","621579.00","43450.00","157045.00","-1408.00","-2602.00","818064.00","--","--","--","818064.00","--","0.00","201679.00","13.15"
"110/05/29","104","4","3144","新揚科","1693341.00","777633.00","2470974.00","913507.00","212788.00","1126295.00","1006378.00","0.00","310815.00","27486.00","--","1344679.00","--","--","0.00","1344679.00","--","0.00","0.00","13.36"
"110/05/29","104","4","3147","大綜","844891.00","110874.00","955765.00","492638.00","6537.00","499175.00","300051.00","4027.00","151739.00","773.00","--","456590.00","--","--","--","456590.00","0.00","0.00","0.00","15.22"
"110/05/29","104","4","3152","璟德","2594622.00","902913.00","3497535.00","399190.00","4416.00","403606.00","690162.00","573532.00","1830235.00","--","--","--","--","--","--","3093929.00","0.00","0.00","0.00","44.83"
"110/05/29","104","4","3162","精確","501954.00","579051.00","1081005.00","488166.00","54860.00","543026.00","565313.00","935.00","-44351.00","16082.00","--","537979.00","--","--","--","537979.00","--","0.00","0.00","9.52"
"110/05/29","104","4","3163","波若威","1470573.00","813962.00","2284535.00","772954.00","107838.00","880792.00","729265.00","211387.00","429512.00","33579.00","--","1403743.00","--","--","--","1403743.00","0.00","0.00","0.00","19.25"
"110/05/29","104","4","3169","亞信","576670.00","293721.00","870391.00","103267.00","1951.00","105218.00","517589.00","56012.00","185627.00","5945.00","0.00","765173.00","0.00","--","0.00","765173.00","0.00","0.00","0.00","14.78"
"110/05/29","104","4","3171","新洲","999528.00","757450.00","1756978.00","631974.00","511010.00","1142984.00","592035.00","68103.00","-51209.00","5065.00","--","613994.00","0.00","--","--","613994.00","0.00","0.00","0.00","10.37"
"110/05/29","104","4","3176","基亞","1506651.00","2987784.00","4494435.00","333171.00","697078.00","1030249.00","1386856.00","1658394.00","-541504.00","-9578.00","--","2494168.00","--","--","970018.00","3464186.00","0.00","0.00","0.00","17.98"
"110/05/29","104","4","3178","公準","589717.00","793942.00","1383659.00","643361.00","295923.00","939284.00","359031.00","--","74588.00","1873.00","--","435492.00","--","--","8883.00","444375.00","0.00","1192.00","0.00","12.13"
"110/05/29","104","4","3188","鑫龍騰","391336.00","33915.00","425251.00","33349.00","1152.00","34501.00","612774.00","2073.00","-220120.00","-3977.00","--","390750.00","--","--","--","390750.00","0.00","150000.00","0.00","6.37"
"110/05/29","104","4","3191","和進","498181.00","278397.00","776578.00","243640.00","1960.00","245600.00","546948.00","104810.00","-125366.00","4586.00","0.00","530978.00","--","--","--","530978.00","0.00","0.00","0.00","9.71"
"110/05/29","104","4","3202","樺晟","2072286.00","606495.00","2678781.00","1454834.00","72755.00","1527589.00","966872.00","91185.00","38836.00","67074.00","0.00","1163967.00","--","--","-12775.00","1151192.00","0.00","0.00","0.00","12.04"
"110/05/29","104","4","3205","佰研","972483.00","159176.00","1131659.00","373802.00","43149.00","416951.00","284288.00","114181.00","316133.00","106.00","0.00","714708.00","--","--","0.00","714708.00","0.00","2073924.00","0.00","25.14"
"110/05/29","104","4","3206","志豐","848131.00","357799.00","1205930.00","406608.00","37306.00","443914.00","436160.00","88027.00","200704.00","37125.00","0.00","762016.00","--","--","0.00","762016.00","0.00","0.00","0.00","17.47"
"110/05/29","104","4","3207","耀勝","556183.00","211094.00","767277.00","388611.00","50862.00","439473.00","382593.00","72841.00","-133525.00","5502.00","--","327411.00","0.00","--","393.00","327804.00","0.00","0.00","0.00","8.56"
"110/05/29","104","4","3211","順達","12363715.00","4236173.00","16599888.00","6577472.00","2539887.00","9117359.00","1519685.00","2057287.00","3589920.00","530661.00","-215024.00","7482529.00","--","--","0.00","7482529.00","0.00","0.00","4488000.00","50.74"
"110/05/29","104","4","3213","茂訊","1314426.00","337351.00","1651777.00","264126.00","99015.00","363141.00","586855.00","72650.00","622002.00","7129.00","--","--","--","--","--","1288636.00","0.00","0.00","0.00","21.96"
"110/05/29","104","4","3217","優群","948855.00","971573.00","1920428.00","476248.00","12260.00","488508.00","821042.00","149030.00","244757.00","214984.00","0.00","1429813.00","--","--","2107.00","1431920.00","0.00","0.00","0.00","17.41"
"110/05/29","104","4","3218","大學光","1023543.00","866322.00","1889865.00","549472.00","190645.00","740117.00","661230.00","360402.00","123570.00","4546.00","0.00","1149748.00","0.00","--","0.00","1149748.00","0.00","0.00","0.00","17.39"
"110/05/29","104","4","3219","倚強科","175608.00","3436.00","179044.00","13675.00","1493.00","15168.00","233004.00","8383.00","-78498.00","987.00","0.00","163876.00","--","--","0.00","163876.00","0.00","0.00","0.00","7.03"
"110/05/29","104","4","3221","台嘉碩","1363826.00","863378.00","2227204.00","537459.00","109958.00","647417.00","861373.00","460723.00","259037.00","-1925.00","0.00","1579208.00","--","--","579.00","1579787.00","--","0.00","0.00","18.33"
"110/05/29","104","4","3224","三顧","921817.00","111766.00","1033583.00","501809.00","6905.00","508714.00","400000.00","126005.00","-5683.00","4547.00","--","524869.00","--","--","--","524869.00","0.00","0.00","0.00","13.12"
"110/05/29","104","4","3226","至寶電","982298.00","189785.00","1172083.00","284405.00","2292.00","286697.00","644306.00","14705.00","226568.00","-193.00","--","885386.00","--","--","0.00","885386.00","0.00","0.00","0.00","13.74"
"110/05/29","104","4","3227","原相","5166293.00","1308763.00","6475056.00","954853.00","147520.00","1102373.00","1331928.00","1855823.00","2792039.00","-447058.00","-185629.00","5347103.00","--","--","25580.00","5372683.00","0.00","0.00","2671000.00","40.97"
"110/05/29","104","4","3228","金麗科","303230.00","245122.00","548352.00","103577.00","44432.00","148009.00","627927.00","35196.00","-259297.00","-3483.00","0.00","--","--","--","--","400343.00","0.00","0.00","0.00","6.38"
"110/05/29","104","4","3230","錦明","1117015.00","1269054.00","2386069.00","781711.00","183517.00","965228.00","1097465.00","232550.00","51496.00","53227.00","-13897.00","1420841.00","0.00","--","0.00","1420841.00","0.00","0.00","2000000.00","13.19"
"110/05/29","104","4","3232","昱捷","590990.00","40661.00","631651.00","199823.00","10103.00","209926.00","315679.00","5075.00","56311.00","4619.00","--","381684.00","--","--","40041.00","421725.00","0.00","0.00","0.00","12.09"
"110/05/29","104","4","3234","光環","2704495.00","1731535.00","4436030.00","1126274.00","975381.00","2101655.00","1038261.00","307297.00","1147192.00","-84615.00","-73760.00","2334375.00","--","--","--","2334375.00","0.00","0.00","2650000.00","23.07"
"110/05/29","104","4","3236","千如","1068608.00","398286.00","1466894.00","538516.00","117517.00","656033.00","603794.00","93888.00","156486.00","-65658.00","0.00","788510.00","0.00","--","22351.00","810861.00","0.00","0.00","0.00","13.06"
"110/05/29","104","4","3252","海灣","1452616.00","2856331.00","4308947.00","1700420.00","1196013.00","2896433.00","217085.00","43722.00","1151707.00","0.00","--","1412514.00","--","--","0.00","1412514.00","0.00","0.00","0.00","65.07"
"110/05/29","104","4","3259","鑫創","561876.00","271955.00","833831.00","96377.00","1852.00","98229.00","808596.00","276160.00","-349154.00","0.00","--","735602.00","--","--","--","735602.00","--","0.00","0.00","9.10"
"110/05/29","104","4","3260","威剛","11026233.00","9577692.00","20603925.00","9091297.00","4042853.00","13134150.00","2299734.00","3618935.00","2005817.00","170390.00","-636603.00","7458273.00","--","--","11502.00","7469775.00","0.00","0.00","15948000.00","34.85"
"110/05/29","104","4","3264","欣銓","3975406.00","9391010.00","13366416.00","1796347.00","2061359.00","3857706.00","4808902.00","1087925.00","3675845.00","62810.00","-126772.00","9508710.00","--","--","--","9508710.00","0.00","0.00","16089815.00","20.46"
"110/05/29","104","4","3265","台星科","3547426.00","4153010.00","7700436.00","729931.00","3754447.00","4484378.00","1362617.00","366243.00","1470807.00","16391.00","--","3216058.00","0.00","--","--","3216058.00","0.00","0.00","0.00","23.60"
"110/05/29","104","4","3268","海德威","642704.00","164299.00","807003.00","223717.00","11705.00","235422.00","334263.00","29064.00","151823.00","11792.00","--","526942.00","--","--","44639.00","571581.00","--","0.00","0.00","15.76"
"110/05/29","104","4","3272","東碩","2452197.00","265877.00","2718074.00","983559.00","262753.00","1246312.00","522649.00","532378.00","391344.00","25391.00","--","1471762.00","--","--","--","1471762.00","0.00","0.00","0.00","28.16"
"110/05/29","104","4","3276","宇環","711513.00","589107.00","1300620.00","463686.00","53741.00","517427.00","697127.00","37335.00","37045.00","11686.00","--","--","--","--","--","783193.00","0.00","0.00","0.00","11.23"
"110/05/29","104","4","3284","太普高","595001.00","443047.00","1038048.00","103663.00","124168.00","227831.00","606638.00","104589.00","163346.00","0.00","-65891.00","808682.00","--","--","1535.00","810217.00","0.00","0.00","6000000.00","14.79"
"110/05/29","104","4","3285","微端","828586.00","112268.00","940854.00","274647.00","16264.00","290911.00","441093.00","40554.00","145122.00","10272.00","0.00","637041.00","--","--","12902.00","649943.00","0.00","0.00","0.00","14.44"
"110/05/29","104","4","3287","廣寰科","486935.00","129877.00","616812.00","97150.00","3861.00","101011.00","439705.00","11688.00","-11962.00","2471.00","--","441902.00","--","--","73899.00","515801.00","--","0.00","0.00","10.05"
"110/05/29","104","4","3288","點晶","376053.00","234901.00","610954.00","202113.00","194103.00","396216.00","484752.00","8028.00","-283414.00","6025.00","0.00","215391.00","--","--","-653.00","214738.00","--","0.00","0.00","4.44"
"110/05/29","104","4","3289","宜特","1451857.00","2417875.00","3869732.00","1138064.00","877372.00","2015436.00","468903.00","435141.00","774961.00","36600.00","--","1715605.00","--","--","138691.00","1854296.00","0.00","53588.00","0.00","36.87"
"110/05/29","104","4","3290","東浦","2256860.00","1027071.00","3283931.00","1397548.00","207341.00","1604889.00","995489.00","236958.00","328871.00","77264.00","0.00","1638582.00","--","--","40460.00","1679042.00","0.00","0.00","0.00","16.46"
"110/05/29","104","4","3293","鈊象","1961286.00","1455960.00","3417246.00","542923.00","75130.00","618053.00","696669.00","243364.00","1843493.00","7940.00","--","2791466.00","--","--","7727.00","2799193.00","--","0.00","0.00","40.07"
"110/05/29","104","4","3294","英濟","3825761.00","1696850.00","5522611.00","2806824.00","74549.00","2881373.00","1302344.00","818655.00","78936.00","376749.00","--","2576684.00","--","--","64554.00","2641238.00","0.00","0.00","0.00","19.78"
"110/05/29","104","4","3297","杭特","519321.00","483491.00","1002812.00","136989.00","12557.00","149546.00","355812.00","143122.00","354226.00","106.00","0.00","853266.00","--","--","0.00","853266.00","0.00","0.00","0.00","23.98"
